
Corrida;Generación;Mínimo;Máximo;Media;Varianza
1;120;88,000000;1304,000000;150,983994;29363,880859
1;121;88,000000;1218,000000;145,095993;24411,593750
1;122;88,000000;1469,000000;149,100006;29818,515625
1;123;88,000000;1407,000000;147,061996;26984,953125
1;124;88,000000;1557,000000;154,337997;33330,007812
1;125;88,000000;1064,000000;144,072006;23853,472656
1;126;88,000000;1377,000000;138,692001;21836,392578
1;127;88,000000;1051,000000;132,179993;17451,632812
1;128;88,000000;1068,000000;129,729996;15255,549805
1;129;88,000000;1036,000000;137,916000;17312,449219
1;130;88,000000;1401,000000;139,039993;23177,496094
1;131;88,000000;1082,000000;138,860001;19673,876953
1;132;88,000000;938,000000;146,227997;20894,453125
1;133;88,000000;904,000000;137,776001;18537,341797
1;134;88,000000;1886,000000;148,832001;29069,970703
1;135;88,000000;1395,000000;146,802002;24040,611328
1;136;88,000000;1207,000000;148,811996;24879,078125
1;137;88,000000;1000,000000;139,031998;16686,214844
1;138;88,000000;1312,000000;150,679993;28404,484375
1;139;88,000000;1171,000000;151,509995;24300,009766
1;140;88,000000;1073,000000;147,067993;24214,380859
1;141;88,000000;1074,000000;135,001999;17904,003906
1;142;88,000000;1582,000000;146,059998;31004,701172
1;143;88,000000;1380,000000;144,949997;27656,433594
1;144;88,000000;1794,000000;148,436005;32615,560547
1;145;88,000000;944,000000;129,703995;15188,009766
1;146;88,000000;1264,000000;141,388000;23186,185547
1;147;88,000000;1340,000000;143,128006;24622,197266
1;148;88,000000;1477,000000;141,179993;24434,841797
1;149;88,000000;989,000000;142,330002;21308,642578
1;150;88,000000;1492,000000;139,811996;26023,662109
1;151;88,000000;1492,000000;145,408005;29139,072266
1;152;88,000000;1324,000000;128,557999;16726,330078
1;153;88,000000;1005,000000;134,757996;16486,929688
1;154;88,000000;1302,000000;151,843994;25282,345703
1;155;88,000000;1112,000000;146,434006;22589,746094
1;156;88,000000;1605,000000;166,723999;39016,386719
1;157;88,000000;1396,000000;149,425995;29758,064453
1;158;88,000000;1836,000000;138,617996;26343,242188
1;159;88,000000;950,000000;124,830002;12480,100586
1;160;52,000000;985,000000;132,832001;18398,890625
1;161;52,000000;1372,000000;138,518005;23804,169922
1;162;52,000000;1447,000000;142,272003;25309,732422
1;163;88,000000;1506,000000;149,046005;32768,289062
1;164;88,000000;1397,000000;137,052002;24120,324219
1;165;88,000000;1501,000000;138,589996;23624,804688
1;166;88,000000;1546,000000;158,477997;37816,667969
1;167;88,000000;1750,000000;151,304001;34944,042969
1;168;88,000000;1346,000000;150,600006;30175,550781
1;169;88,000000;1740,000000;160,104004;34049,019531
1;170;88,000000;1102,000000;150,259995;23988,765625
1;171;88,000000;1190,000000;142,076004;22245,792969
1;172;88,000000;1076,000000;135,841995;20348,121094
1;173;88,000000;1413,000000;134,516006;21830,580078
1;174;88,000000;1390,000000;141,220001;26727,343750
1;175;88,000000;1341,000000;149,794006;31889,396484
1;176;88,000000;1318,000000;137,998001;22428,839844
1;177;88,000000;1410,000000;151,432007;29627,923828
1;178;88,000000;1199,000000;145,494003;26110,078125
1;179;88,000000;1415,000000;141,647995;23686,628906
1;180;78,000000;1538,000000;135,608002;22713,318359
1;181;88,000000;1578,000000;135,070007;23157,589844
1;182;88,000000;1451,000000;142,628006;30096,828125
1;183;88,000000;1299,000000;147,447998;28854,224609
1;184;88,000000;1626,000000;141,796005;28774,156250
1;185;88,000000;1424,000000;144,472000;28084,392578
1;186;88,000000;1467,000000;139,104004;26945,363281
1;187;78,000000;1662,000000;149,518005;33216,191406
1;188;88,000000;1125,000000;136,337997;19583,910156
